Pickup_date,locationID
2015-01-08 21:14:00,234.0
2015-01-08 21:23:00,230.0
2015-01-08 21:26:00,161.0
2015-01-08 21:30:00,186.0
2015-01-08 21:36:00,""
2015-01-08 21:40:00,217.0
2015-01-08 21:41:00,""
2015-01-08 21:46:00,247.0
2015-01-08 22:00:00,""
2015-01-08 22:00:00,164.0
2015-01-08 22:00:00,161.0
2015-01-08 22:02:00,145.0
2015-01-08 22:05:00,""
2015-01-08 22:10:00,223.0
2015-01-08 22:10:00,87.0
2015-01-08 22:11:00,87.0
2015-01-08 22:28:00,""
2015-01-08 22:44:00,145.0
2015-01-08 22:46:00,""
2015-01-08 22:48:00,145.0
2015-01-08 22:48:00,""
2015-01-08 22:52:00,163.0
2015-01-08 22:52:00,69.0
2015-01-08 22:54:00,163.0
2015-01-08 22:55:00,208.0
2015-01-08 22:58:00,161.0
2015-01-08 23:07:00,65.0
2015-01-08 23:28:00,""
2015-01-08 23:30:00,265.0
2015-01-08 23:36:00,""
2015-01-08 23:45:00,148.0
2015-01-08 23:50:00,""
2015-01-08 23:51:00,87.0
2015-01-08 23:58:00,65.0
2015-01-09 00:15:00,87.0
2015-01-09 00:29:00,265.0
2015-01-09 00:52:00,162.0
2015-01-09 01:00:00,134.0
2015-01-09 01:00:00,134.0
2015-01-09 01:00:00,129.0
2015-01-09 01:22:00,""
2015-01-09 01:23:00,""
2015-01-09 01:27:00,""
2015-01-09 01:31:00,66.0
2015-01-09 01:32:00,161.0
2015-01-09 01:50:00,65.0
2015-01-09 04:00:00,257.0
2015-01-09 04:05:00,""
2015-01-09 04:10:00,13.0
2015-01-09 05:00:00,186.0
2015-01-09 05:09:00,""
2015-01-09 05:15:00,13.0
2015-01-09 05:30:00,231.0
2015-01-09 05:30:00,""
2015-01-09 05:30:00,""
2015-01-09 05:30:00,125.0
2015-01-09 05:30:00,""
2015-01-09 05:45:00,13.0
2015-01-09 05:45:00,97.0
2015-01-09 05:45:00,121.0
2015-01-09 06:00:00,170.0
2015-01-09 06:30:00,""
2015-01-09 07:15:00,141.0
2015-01-09 07:15:00,141.0
2015-01-09 07:15:00,32.0
2015-01-09 07:45:00,265.0
2015-01-09 08:00:00,261.0
